pos_id,plank_id,ew_slot,ew_label,x_east_m,y_north_m,z_up_m,installed,pos_type,snap_A,adc_A,enabled_A,quality_A,snap_B,adc_B,enabled_B,quality_B,ant64,include_in_ant64,include_in_beamforming,is_reference_candidate,comment
N21_E2,N21,2,E2,0.392,0.0,0.0,True,antenna,0.0,9.0,True,unknown,,,False,unknown,0.0,True,True,False,
N21_E3,N21,3,E3,0.764,0.0,0.0,True,antenna,0.0,6.0,True,unknown,,,False,unknown,1.0,True,True,False,
C_E1,C,1,E1,0.0,-10.5,0.0,True,antenna,2.0,6.0,True,unknown,,,False,unknown,2.0,True,True,False,
C_E2,C,2,E2,0.445,-10.5,0.0,True,antenna,2.0,11.0,True,unknown,,,False,unknown,3.0,True,True,False,
C_E3,C,3,E3,0.826,-10.5,0.0,True,antenna,2.0,8.0,True,unknown,,,False,unknown,4.0,True,True,False,
C_E5,C,5,E5,1.606,-10.5,0.0,True,antenna,2.0,1.0,True,unknown,,,False,unknown,5.0,True,True,False,
C_E6,C,6,E6,2.103,-10.5,0.0,True,antenna,2.0,9.0,True,unknown,,,False,unknown,6.0,True,True,False,
O1_O1,O1,1,O1,-4.719,-5.5,0.3,True,antenna,2.0,2.0,True,unknown,,,False,unknown,7.0,True,True,False,
N2_E3,N2,3,E3,0.711,-9.5,0.0,True,antenna,4.0,3.0,True,unknown,,,False,unknown,8.0,True,True,False,
N2_E5,N2,5,E5,1.53,-9.5,0.0,True,antenna,4.0,1.0,True,unknown,,,False,unknown,9.0,True,True,False,
N3_E2,N3,2,E2,0.352,-9.0,0.0,True,antenna,4.0,7.0,True,unknown,,,False,unknown,10.0,True,True,False,
N3_E5,N3,5,E5,1.504,-9.0,0.0,True,antenna,4.0,5.0,True,unknown,,,False,unknown,11.0,True,True,False,
N4_E1,N4,1,E1,-0.068,-8.5,0.0,True,antenna,4.0,11.0,True,unknown,,,False,unknown,12.0,True,True,False,
N4_E6,N4,6,E6,2.063,-8.5,0.0,True,antenna,4.0,8.0,True,unknown,,,False,unknown,13.0,True,True,False,
